subject,acc,auc,f1,recall,precision,train_n,test_n,class_counts_train,elapsed_sec
sub-001,0.325,0.6084381939304219,0.09395973154362416,1.0,0.04929577464788732,3768,200,"{0: 3625, 1: 143}",76.82086563110352
sub-002,0.09,0.38256410256410267,0.042105263157894736,0.8,0.021621621621621623,3768,200,"{0: 3623, 1: 145}",41.44198942184448
sub-003,0.16,0.6410526315789474,0.0967741935483871,0.9,0.05113636363636364,3768,200,"{0: 3628, 1: 140}",47.61264371871948
sub-004,0.05,0.24283854166666669,0.06862745098039216,0.875,0.03571428571428571,3768,200,"{0: 3626, 1: 142}",41.027127504348755
sub-005,0.27,0.6783854166666666,0.0875,0.875,0.046052631578947366,3768,200,"{0: 3626, 1: 142}",87.2813675403595
sub-006,0.3756345177664975,0.6541005291005291,0.08888888888888889,0.75,0.047244094488188976,3771,197,"{0: 3629, 1: 142}",101.46015787124634
sub-007,0.15,0.681640625,0.07608695652173914,0.875,0.03977272727272727,3768,200,"{0: 3626, 1: 142}",53.97438907623291
sub-008,0.20603015075376885,0.6282722513089005,0.09195402298850575,1.0,0.04819277108433735,3769,199,"{0: 3627, 1: 142}",41.29341459274292
sub-009,0.29069767441860467,0.4487951807228916,0.06153846153846154,0.6666666666666666,0.03225806451612903,3796,172,"{0: 3652, 1: 144}",42.899876832962036
sub-010,0.09,0.6402116402116402,0.09900990099009901,0.9090909090909091,0.05235602094240838,3768,200,"{0: 3629, 1: 139}",67.51064682006836
sub-011,0.08,0.6712239583333333,0.08,1.0,0.041666666666666664,3768,200,"{0: 3626, 1: 142}",63.653388261795044
sub-012,0.065,0.5684678016284234,0.06965174129353234,1.0,0.03608247422680412,3768,200,"{0: 3625, 1: 143}",58.00863456726074
sub-013,0.035,0.5869726128793487,0.06763285024154589,1.0,0.035,3768,200,"{0: 3625, 1: 143}",51.850363969802856
sub-014,0.125,0.5169270833333333,0.07407407407407407,0.875,0.03867403314917127,3768,200,"{0: 3626, 1: 142}",58.307645320892334
sub-015,0.55,0.4596219931271478,0.0425531914893617,0.3333333333333333,0.022727272727272728,3768,200,"{0: 3624, 1: 144}",573.1137425899506
sub-016,0.39,0.65,0.11594202898550725,0.8,0.0625,3768,200,"{0: 3628, 1: 140}",91.81403470039368
sub-017,0.045,0.6125429553264605,0.059113300492610835,1.0,0.030456852791878174,3768,200,"{0: 3624, 1: 144}",57.4448561668396
sub-018,0.575,0.4666666666666667,0.0449438202247191,0.4,0.023809523809523808,3768,200,"{0: 3623, 1: 145}",110.09403347969055
sub-019,0.33,0.7135455218356772,0.06944444444444445,0.7142857142857143,0.0364963503649635,3768,200,"{0: 3625, 1: 143}",69.16070485115051
sub-020,0.08,0.6010362694300517,0.0707070707070707,1.0,0.03664921465968586,3768,200,"{0: 3625, 1: 143}",57.60654544830322
